Raio1,Raio2,Dens1,Dens2,omega,mspp,mrpp,Particulas,R1/R2,Den1/Den2,Dx,Dy,Dz,Difusividade_radial,Difusividade_axial,Deff-radial/Deff-axial,,,,,,,,,,,,,,,,,,,,,,,,
0.002,0.002,3000,3000,1,0.2,0.06,25000,1,1,0.000636842,0.000226227,5.71E-05,0.000431534,5.71E-05,7.552571163,,Difusividade radial r² = 0.9001,,,,,,,,,,,,Difusividade axial r² = 0.7825,,,,,,,,,,
0.002,0.002,3000,3000,1,0.6,0.02,25000,1,1,0.001821048,0.000787127,2.55E-05,0.001304088,2.55E-05,51.1709468,,,Effect,Std.Err.,t(44),p,-95.00%,95.00%,Coeff.,Std.Err.,-95.00%,95.00%,,,Effect,Std.Err.,t(44),p,-95.00%,95.00%,Coeff.,Std.Err.,-95.00%,95.00%
0.002,0.002,3000,3000,3,0.2,0.02,25000,1,1,0.002288663,0.000736044,0.000261854,0.001512353,0.000261854,5.775564513,,Mean/Interc.,0.00071,0.000162,4.39343,0.000069,0.000384,0.001036,0.00071,0.000162,0.000384,0.001036,,Mean/Interc.,0.000067,0.000022,3.10644,0.003311,0.000024,0.000111,0.000067,0.000022,0.000024,0.000111
0.002,0.002,3000,3000,3,0.6,0.06,25000,1,1,0.002467013,0.001337813,9.49E-05,0.001902413,9.49E-05,20.04432995,,(1)Var1    (L),0.000374,0.000084,4.47073,0.000054,0.000205,0.000542,0.000187,0.000042,0.000103,0.000271,,(1)Var1    (L),-0.000013,0.000011,-1.12304,0.267513,-0.000035,0.00001,-0.000006,0.000006,-0.000018,0.000005
0.002,0.002,3000,7000,1,0.2,0.02,25000,1,0.428571429,0.000980729,0.00035243,0.000048454,0.000666579,0.000048454,13.75694079,,Var1    (Q),0.000267,0.000132,2.01387,0.050164,0,0.000534,0.000133,0.000066,0,0.000267,,Var1    (Q),0.000029,0.000018,1.63329,0.109545,-0.000007,0.000065,0.000014,0.000009,-0.000003,0.000032
0.002,0.002,3000,7000,1,0.6,0.06,25000,1,0.428571429,0.003825481,0.001781385,4.40E-05,0.002803433,4.40E-05,63.77208543,,(2)Var2    (L),-0.000371,0.000084,-4.43638,0.00006,-0.000539,-0.000202,-0.000185,0.000042,-0.00027,-0.000101,,(2)Var2    (L),0.000014,0.000011,1.24665,0.219122,-0.000009,0.000036,0.000007,0.000006,-0.000004,0.000018
0.002,0.002,3000,7000,3,0.2,0.06,25000,1,0.428571429,0.003291996,0.001270996,0.000163035,0.002281496,0.000163035,13.99386671,,Var2    (Q),0.000031,0.000132,0.23763,0.813272,-0.000235,0.000298,0.000016,0.000066,-0.000118,0.000149,,Var2    (Q),0.000018,0.000018,1.02913,0.309043,-0.000017,0.000054,0.000009,0.000009,-0.000009,0.000027
0.002,0.002,3000,7000,3,0.6,0.02,25000,1,0.428571429,0.004025365,0.001663702,8.98E-05,0.002844533,8.98E-05,31.67745744,,(3)Var3    (L),-0.000716,0.000084,-8.56094,0,-0.000884,-0.000547,-0.000358,0.000042,-0.000442,-0.000274,,(3)Var3    (L),-0.000034,0.000011,-3.06158,0.003746,-0.000057,-0.000012,-0.000017,0.000006,-0.000028,-0.000006
0.002,0.002,7000,3000,1,0.2,0.02,25000,1,2.333333333,0.000219671,6.35E-05,3.72E-05,0.000141583,3.72E-05,3.803621392,,Var3    (Q),0.000263,0.000132,1.98993,0.052835,-0.000003,0.00053,0.000132,0.000066,-0.000002,0.000265,,Var3    (Q),0.00001,0.000018,0.57063,0.571155,-0.000026,0.000046,0.000005,0.000009,-0.000013,0.000023
0.002,0.002,7000,3000,1,0.6,0.06,25000,1,2.333333333,0.000918511,0.000439693,8.75E-06,0.000679102,8.75E-06,77.62202663,,(4)Var4    (L),0.000625,0.000084,7.48073,0,0.000457,0.000794,0.000313,0.000042,0.000228,0.000397,,(4)Var4    (L),0.000036,0.000011,3.17581,0.00273,0.000013,0.000058,0.000018,0.000006,0.000006,0.000029
