,0,,,
0,"0,0703311263",,,
1,"0,0766786589",,,
2,"0,092286161",,,
3,"0,1118094318",,,
4,"0,1179937758",,,
5,"0,1030619821",,,
6,"0,1394724829",,,
7,"0,1049806755",,,
8,"0,0790592178",,,
9,"0,0813173247",,,
10,"0,07901809",,,
11,"0,1082100619",,,
12,"0,1129704591",,,
13,"0,0760879409",,,
14,"0,0720814376",,,
15,"0,0764750246",,,
16,"0,0869449075",,,
17,"0,0964358033",,,
18,"0,0912178383",,,
19,"0,0902705821",,,
20,"0,0791931806",,,
21,"0,0942032526",,,
22,"0,0893344309",,,
23,"0,113438219",,,
24,"0,0995530671",,,
25,"0,0753737048",,,
26,"0,074577486",,,
27,"0,0773439495",,,
28,"0,0800225868",,,
29,"0,1113882636",,,
30,"0,0900905133",,,
31,"0,0739425471",,,
32,"0,0785867491",,,
33,"0,0853952597",,,
34,"0,0972092071",,,
35,"0,095163127",,,
36,"0,093210931",,,
37,"0,0747115507",,,
38,"0,0749713287",,,
39,"0,075047376",,,
40,"0,0974390419",,,
41,"0,0833905024",,,
42,"0,0788959485",,,
43,"0,0721752965",,,
44,"0,068837902",,,
45,"0,0745566017",,,
46,"0,0822629504",,,
47,"0,0893233205",,,
48,"0,0872341493",,,
49,"0,078709743",,,
50,"0,0721390589",,,
51,"0,074642717",,,
52,"0,0919200655",,,
53,"0,0791055121",,,
54,"0,0746982121",,,
55,"0,072917744",,,
56,"0,0891490801",,,
57,"0,073960769",,,
58,"0,0900205536",,,
59,"0,0843812836",,,
60,"0,0740310812",,,
61,"0,073902439",,,
62,"0,0833067983",,,
63,"0,073827865",,,
64,"0,1096799731",,,
65,"0,0842534091",,,
66,"0,0832663065",,,
67,"0,0909577377",,,
68,"0,0863486173",,,
69,"0,0853742062",,,
70,"0,106750875",,,
71,"0,0928084538",,,
72,"0,0746415454",,,
73,"0,0849975263",,,
74,"0,0775803973",,,
75,"0,0904312309",,,
76,"0,0925425988",,,
77,"0,0872824584",,,
78,"0,0805254228",,,
79,"0,082405565",,,
80,"0,0916557052",,,
81,"0,1108674254",,,
82,"0,0950198667",,,
83,"0,080569792",,,
84,"0,0836962265",,,
85,"0,0841791298",,,
86,"0,0866685307",,,
87,"0,0992393448",,,
88,"0,092229998",,,
89,"0,0905709371",,,
90,"0,0951681999",,,
91,"0,098404855",,,
92,"0,1012838346",,,
93,"0,0894368387",,,
94,"0,0805261745",,,
95,"0,095839911",,,
96,"0,0791960834",,,
97,"0,0837513942",,,
98,"0,1054236983",,,
99,"0,087869792",,,
100,"0,082235077",,,
101,"0,0838074342",,,
102,"0,0863151428",,,
103,"0,0904903829",,,
104,"0,0925310392",,,
105,"0,0774104183",,,
106,"0,0903540732",,,
107,"0,0731862591",,,
108,"0,0867568106",,,
109,"0,099247832",,,
110,"0,0881794771",,,
111,"0,0861155841",,,
112,"0,0873161196",,,
113,"0,0981562929",,,
114,"0,103833818",,,
115,"0,0815870579",,,
116,"0,0943514193",,,
117,"0,0899165062",,,
118,"0,0967914695",,,
119,"0,0886858523",,,
120,"0,0904404081",,,
121,"0,0788957546",,,
122,"0,0702159802",,,
123,"0,0730869972",,,
124,"0,0753557328",,,
125,"0,0879818891",,,
126,"0,0961779982",,,
127,"0,079782039",,,
128,"0,0750657339",,,
129,"0,07775261",,,
130,"0,0857731949",,,
131,"0,1009361853",,,
132,"0,1010602951",,,
133,"0,089852113",,,
134,"0,0840548527",,,
135,"0,0816201613",,,
136,"0,0857355143",,,
137,"0,0944013126",,,
138,"0,074560712",,,
139,"0,0735396433",,,
140,"0,077444323",,,
141,"0,0837964498",,,
142,"0,0854917756",,,
143,"0,0965413553",,,
144,"0,0778924566",,,
145,"0,0741303777",,,
146,"0,0699835519",,,
147,"0,0796852425",,,
148,"0,0910500476",,,
149,"0,0970843814",,,
150,"0,0765651935",,,
151,"0,070850395",,,
152,"0,0778599879",,,
153,"0,0747495184",,,
154,"0,0918236509",,,
155,"0,086067778",,,
156,"0,0796569865",,,
157,"0,0786247446",,,
158,"0,0847471022",,,
159,"0,0764675487",,,
160,"0,0723461899",,,
161,"0,0753675029",,,
162,"0,0762236985",,,
163,"0,0705880195",,,
164,"0,0770611348",,,
165,"0,0811425044",,,
166,"0,0750276718",,,
167,"0,0802813564",,,
168,"0,0793022047",,,
169,"0,0819846484",,,
170,"0,0807860365",,,
171,"0,095213003",,,
172,"0,092116019",,,
173,"0,0843872504",,,
174,"0,0792980993",,,
175,"0,0756398172",,,
176,"0,0765171259",,,
177,"0,0709054133",,,
178,"0,0829061332",,,
179,"0,0727184101",,,
180,"0,0739612673",,,
181,"0,0735688209",,,
182,"0,0739870182",,,
183,"0,0790375406",,,
184,"0,0804078623",,,
185,"0,0738467348",,,
186,"0,0643600189",,,
187,"0,0759079332",,,
188,"0,0827336744",,,
189,"0,0795301007",,,
190,"0,0703325897",,,
191,"0,072713395",,,
192,"0,077949512",,,
193,"0,0722401357",,,
194,"0,0787005806",,,
195,"0,0715041646",,,
196,"0,0717246335",,,
197,"0,0702930189",,,
198,"0,0758042869",,,
199,"0,0789170558",,,
200,"0,0772653248",,,
201,"0,0695685001",,,
202,"0,0766403618",,,
203,"0,0783914315",,,
204,"0,0807389698",,,
205,"0,0852787409",,,
206,"0,0769617061",,,
207,"0,0775604323",,,
208,"0,0711699286",,,
209,"0,0727643562",,,
210,"0,0760364142",,,
211,"0,0909623246",,,
212,"0,0659431336",,,
213,"0,0748425508",,,
